Genome	10p_S10_1.fastq Relative Abundance (%)	10p_S10_1.fastq Variance	10p_S10_1.fastq RPKM	10p_S10_1.fastq TPM	10_S36_1.fastq Relative Abundance (%)	10_S36_1.fastq Variance	10_S36_1.fastq RPKM	10_S36_1.fastq TPM	11p_S11_1.fastq Relative Abundance (%)	11p_S11_1.fastq Variance	11p_S11_1.fastq RPKM	11p_S11_1.fastq TPM	11_S37_1.fastq Relative Abundance (%)	11_S37_1.fastq Variance	11_S37_1.fastq RPKM	11_S37_1.fastq TPM	12p_S12_1.fastq Relative Abundance (%)	12p_S12_1.fastq Variance	12p_S12_1.fastq RPKM	12p_S12_1.fastq TPM	12_S38_1.fastq Relative Abundance (%)	12_S38_1.fastq Variance	12_S38_1.fastq RPKM	12_S38_1.fastq TPM	13p_S13_1.fastq Relative Abundance (%)	13p_S13_1.fastq Variance	13p_S13_1.fastq RPKM	13p_S13_1.fastq TPM	13_S39_1.fastq Relative Abundance (%)	13_S39_1.fastq Variance	13_S39_1.fastq RPKM	13_S39_1.fastq TPM	14p_S14_1.fastq Relative Abundance (%)	14p_S14_1.fastq Variance	14p_S14_1.fastq RPKM	14p_S14_1.fastq TPM	14_S40_1.fastq Relative Abundance (%)	14_S40_1.fastq Variance	14_S40_1.fastq RPKM	14_S40_1.fastq TPM	15p_S15_1.fastq Relative Abundance (%)	15p_S15_1.fastq Variance	15p_S15_1.fastq RPKM	15p_S15_1.fastq TPM	15_S41_1.fastq Relative Abundance (%)	15_S41_1.fastq Variance	15_S41_1.fastq RPKM	15_S41_1.fastq TPM	16p_S16_1.fastq Relative Abundance (%)	16p_S16_1.fastq Variance	16p_S16_1.fastq RPKM	16p_S16_1.fastq TPM	16_S42_1.fastq Relative Abundance (%)	16_S42_1.fastq Variance	16_S42_1.fastq RPKM	16_S42_1.fastq TPM	17p_S17_1.fastq Relative Abundance (%)	17p_S17_1.fastq Variance	17p_S17_1.fastq RPKM	17p_S17_1.fastq TPM	17_S43_1.fastq Relative Abundance (%)	17_S43_1.fastq Variance	17_S43_1.fastq RPKM	17_S43_1.fastq TPM	18p_S18_1.fastq Relative Abundance (%)	18p_S18_1.fastq Variance	18p_S18_1.fastq RPKM	18p_S18_1.fastq TPM	18_S44_1.fastq Relative Abundance (%)	18_S44_1.fastq Variance	18_S44_1.fastq RPKM	18_S44_1.fastq TPM	19p_S19_1.fastq Relative Abundance (%)	19p_S19_1.fastq Variance	19p_S19_1.fastq RPKM	19p_S19_1.fastq TPM	19_S45_1.fastq Relative Abundance (%)	19_S45_1.fastq Variance	19_S45_1.fastq RPKM	19_S45_1.fastq TPM	1p_S1_1.fastq Relative Abundance (%)	1p_S1_1.fastq Variance	1p_S1_1.fastq RPKM	1p_S1_1.fastq TPM	20_S46_1.fastq Relative Abundance (%)	20_S46_1.fastq Variance	20_S46_1.fastq RPKM	20_S46_1.fastq TPM	21p_S21_1.fastq Relative Abundance (%)	21p_S21_1.fastq Variance	21p_S21_1.fastq RPKM	21p_S21_1.fastq TPM	21_S47_1.fastq Relative Abundance (%)	21_S47_1.fastq Variance	21_S47_1.fastq RPKM	21_S47_1.fastq TPM	22p_S22_1.fastq Relative Abundance (%)	22p_S22_1.fastq Variance	22p_S22_1.fastq RPKM	22p_S22_1.fastq TPM	22_S48_1.fastq Relative Abundance (%)	22_S48_1.fastq Variance	22_S48_1.fastq RPKM	22_S48_1.fastq TPM	23p_S23_1.fastq Relative Abundance (%)	23p_S23_1.fastq Variance	23p_S23_1.fastq RPKM	23p_S23_1.fastq TPM	23_S49_1.fastq Relative Abundance (%)	23_S49_1.fastq Variance	23_S49_1.fastq RPKM	23_S49_1.fastq TPM	24p_S24_1.fastq Relative Abundance (%)	24p_S24_1.fastq Variance	24p_S24_1.fastq RPKM	24p_S24_1.fastq TPM	24_S50_1.fastq Relative Abundance (%)	24_S50_1.fastq Variance	24_S50_1.fastq RPKM	24_S50_1.fastq TPM	2p_S2_1.fastq Relative Abundance (%)	2p_S2_1.fastq Variance	2p_S2_1.fastq RPKM	2p_S2_1.fastq TPM	2_S28_1.fastq Relative Abundance (%)	2_S28_1.fastq Variance	2_S28_1.fastq RPKM	2_S28_1.fastq TPM	3p_S3_1.fastq Relative Abundance (%)	3p_S3_1.fastq Variance	3p_S3_1.fastq RPKM	3p_S3_1.fastq TPM	3_S29_1.fastq Relative Abundance (%)	3_S29_1.fastq Variance	3_S29_1.fastq RPKM	3_S29_1.fastq TPM	4p_S4_1.fastq Relative Abundance (%)	4p_S4_1.fastq Variance	4p_S4_1.fastq RPKM	4p_S4_1.fastq TPM	4_S30_1.fastq Relative Abundance (%)	4_S30_1.fastq Variance	4_S30_1.fastq RPKM	4_S30_1.fastq TPM	5p_S5_1.fastq Relative Abundance (%)	5p_S5_1.fastq Variance	5p_S5_1.fastq RPKM	5p_S5_1.fastq TPM	5_S31_1.fastq Relative Abundance (%)	5_S31_1.fastq Variance	5_S31_1.fastq RPKM	5_S31_1.fastq TPM	6p_S6_1.fastq Relative Abundance (%)	6p_S6_1.fastq Variance	6p_S6_1.fastq RPKM	6p_S6_1.fastq TPM	6_S32_1.fastq Relative Abundance (%)	6_S32_1.fastq Variance	6_S32_1.fastq RPKM	6_S32_1.fastq TPM	7p_S7_1.fastq Relative Abundance (%)	7p_S7_1.fastq Variance	7p_S7_1.fastq RPKM	7p_S7_1.fastq TPM	7_S33_1.fastq Relative Abundance (%)	7_S33_1.fastq Variance	7_S33_1.fastq RPKM	7_S33_1.fastq TPM	8p_S8_1.fastq Relative Abundance (%)	8p_S8_1.fastq Variance	8p_S8_1.fastq RPKM	8p_S8_1.fastq TPM	8_S34_1.fastq Relative Abundance (%)	8_S34_1.fastq Variance	8_S34_1.fastq RPKM	8_S34_1.fastq TPM	9p_S9_1.fastq Relative Abundance (%)	9p_S9_1.fastq Variance	9p_S9_1.fastq RPKM	9p_S9_1.fastq TPM	9_S35_1.fastq Relative Abundance (%)	9_S35_1.fastq Variance	9_S35_1.fastq RPKM	9_S35_1.fastq TPM
unmapped	99.56338	NA	NA	NA	100	NA	NA	NA	83.322395	NA	NA	NA	84.55794	NA	NA	NA	100	NA	NA	NA	92.09713	NA	NA	NA	85.19451	NA	NA	NA	82.765976	NA	NA	NA	80.904945	NA	NA	NA	67.23395	NA	NA	NA	79.09914	NA	NA	NA	69.24952	NA	NA	NA	78.99127	NA	NA	NA	65.47752	NA	NA	NA	79.82795	NA	NA	NA	46.930473	NA	NA	NA	88.66941	NA	NA	NA	36.373375	NA	NA	NA	89.55954	NA	NA	NA	89.837494	NA	NA	NA	96.310715	NA	NA	NA	48.920204	NA	NA	NA	84.7843	NA	NA	NA	73.01084	NA	NA	NA	86.15147	NA	NA	NA	78.12917	NA	NA	NA	90.22448	NA	NA	NA	66.91357	NA	NA	NA	87.17735	NA	NA	NA	70.75688	NA	NA	NA	94.63126	NA	NA	NA	96.057045	NA	NA	NA	94.824776	NA	NA	NA	93.6797	NA	NA	NA	94.10891	NA	NA	NA	91.257805	NA	NA	NA	97.18921	NA	NA	NA	89.48748	NA	NA	NA	91.975655	NA	NA	NA	90.45349	NA	NA	NA	94.19122	NA	NA	NA	92.77437	NA	NA	NA	94.94285	NA	NA	NA	85.440895	NA	NA	NA	81.90769	NA	NA	NA	78.67759	NA	NA	NA
11p_S11_bin.29	0	0	0	0	NaN	0	0	0	0.14510413	519.9053	6.2830667	8968.105	0.051452905	39.09729	2.4574006	3866.7192	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11953664	67.974525	3.8146174	6458.4243	0	0	0	0	0.10672576	680.1314	3.138792	5301.5723	0.044649642	0.7617914	0.6835212	1677.4227	0.057075206	125.710625	1.7549739	3001.3718	0.075951815	1.4308159	0.96453404	2411.7542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.036938142	206.26936	7.5300117	8363.795	0	0	0	0	0.029327516	38.290974	5.6467495	6511.4688	0.04424878	93.82001	4.436664	6030.107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022684641	63.090416	1.7137033	2558.0608	0.10708589	402.14554	4.3934054	6477.0586	0.08732808	1.059318	2.5926797	4444.5522
146_merged	0	0	0	0	NaN	0	0	0	0.12908356	2086.1575	5.703068	8140.2446	0.08822804	119.81341	3.8747084	6096.855	NaN	0	0	0	0	0	0	0	0.47347897	421.7975	19.318163	31613.406	0	0	0	0	0.3104544	403.541	9.772716	16545.926	0.8899294	1247.4775	9.95927	26805.87	0.5425427	5031.917	15.036195	25396.865	0.712499	12.851056	9.310914	22849.822	0.45991987	2272.1143	13.123758	22444.37	0.67671275	13.761932	7.8646493	19665.041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.050918374	6.6294928	0.8831979	1979.3901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.061534993	182.0426	5.6122007	7627.8413	0	0	0	0	0.027498437	297.8791	2.2218056	3495.8577	0.14877532	1197.6039	16.164963	19814.639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.040346168	218.91261	2.2308292	3329.9795	0.22458851	1495.9144	8.636698	12732.812	0.16466008	2.9017587	4.709695	8073.6895
8_S34_bin.1	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04630986	56.95165	2.6956131	4241.361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.88956165	888.84546	39.488026	58944.156	0	0	0	0	0	0	0	0
149_merged	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	3.3273203	2102.6294	65.820496	194238.34	0	0	0	0	3.6310408	6097.9263	40.51117	109037.85	0	0	0	0	4.4841447	70.89945	56.941135	139738.66	0	0	0	0	6.3926954	143.51253	71.1834	177989.44	0	0	0	0	0	0	0	0	0	0	0	0	0.07381944	90.62909	0.6822494	1297.5642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3310988	10.654498	4.600084	10309.535	0	0	0	0	0.26617193	330.77713	3.8891985	9556.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4p_S4_bin.8	0	0	0	0	NaN	0	0	0	1.042859	14272.725	43.7009	62376.266	1.3546641	1714.539	56.212814	88450.875	NaN	0	0	0	1.2439928	7250.8154	102.48542	152944.86	0.72334915	638.2591	30.596119	50069.332	0	0	0	0	0.5743027	709.55896	18.651455	31578.287	0.771089	1172.6455	9.676496	26044.771	0.59956735	7652.8022	17.165003	28992.521	0.7307278	27.959896	10.802016	26509.121	0.54587376	2990.268	16.188803	27686.236	0.83234227	40.59018	10.526314	26320.365	0.18034905	234.75908	8.3755	9869.593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37063822	3174.694	94.392586	103829.82	0.07115185	1.1511601	0.756386	1494.6671	0.36147377	808.04895	15.504347	25156.742	0	0	0	0	0.2759249	1063.1451	14.267314	22279.164	0	0	0	0	0	0	0	0	0.11202561	1.4328339	1.8025378	4039.7813	0.39348215	575.547	20.117163	31870.79	0.1210175	74.89811	1.9837168	4874.273	0.49804607	3.675885	79.93361	91637.45	0.41191733	0.7307334	97.89375	104224.75	0.41458884	2280.5383	70.57109	78385.27	0.5490448	4.584102	60.435287	85487.88	0.6760035	772.2512	96.450775	111220.836	0.68791336	1615.6774	57.15528	77682.78	0	0	0	0	0.37284145	740.71606	22.757473	35807.313	0.39255685	2982.4294	41.151627	50442.71	0.40181875	5.1829796	30.84451	42627.883	0.33825487	10701.139	54.029984	58628.63	0.28235188	1907.2925	33.42212	40299.047	0.27315888	15.385254	49.22157	54281.914	0.5978106	1043.7189	27.615858	41222.453	1.1313593	7846.362	42.300674	62362.555	2.2022014	65.130936	60.383698	103513.94
11p_S11_bin.72	0	0	0	0	NaN	0	0	0	0.18575299	463.19904	7.971132	11377.554	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008144927	48.905018	0.32986942	564.14575	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1578256	344.2418	6.0075126	8856.687	0	0	0	0
11p_S11_bin.13	0	0	0	0	NaN	0	0	0	0.18812613	1291.6438	7.684229	10968.045	0.07531394	64.356285	3.174891	4995.691	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.114182435	175.21577	3.4757805	5884.7515	0	0	0	0	0.120222084	1044.3717	3.3173227	5603.118	0.083027475	7.2962146	1.1273328	2766.576	0.09380095	607.5147	2.5713513	4397.548	0.087273	8.2431965	1.036568	2591.87	0.20436841	510.20197	8.814668	10387.1045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07193838	47.095837	3.4318876	7580.0786	0	0	0	0	0.08166463	8.5112095	0.88866025	1756.0498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119547255	237.34462	6.1060743	9673.6045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.018402098	259.3817	1.0911685	1628.7975	0.22776829	1102.1743	8.32145	12268.052	0.108982585	3.2106683	3.0066953	5154.286
161_merged	0	0	0	0	NaN	0	0	0	0.02336658	118.1979	1.1167061	1593.9246	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38316151	188.37349	11.400566	19301.992	0	0	0	0	0.2618622	654.80066	7.3832	12470.583	0.20608766	2.4439077	2.7431896	6732.0313	0.20191525	196.10626	5.43166	9289.273	0.40732077	6.4972363	4.6508965	11629.262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03225873	6.475671	1.6107357	3557.6648	0	0	0	0	0.045911655	7.296647	0.5532084	1093.1757	0	0	0	0	1.0880916	7.427352	17.839565	40076.84	0	0	0	0	0	0	0	0	0	0	0	0	0.7024837	23.174942	9.523162	21342.96	0	0	0	0	1.1038209	1077.9011	15.2745285	37531.664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03783672	95.38649	1.5244225	2247.4082	0	0	0	0
162_merged	0	0	0	0	NaN	0	0	0	0.53640854	27364.518	24.380346	34799.164	0.2741508	499.53677	12.198853	19194.895	NaN	0	0	0	0	0	42.54288	63489.184	0.8898281	1111.1442	38.0712	62302.008	0	0	0	0	1.4408793	5547.846	45.672905	77327.586	0.6740098	1106.4749	8.136963	21901.047	1.5389528	69766.3	43.815468	74006.445	1.1973878	52.687847	16.401834	40251.582	1.3922999	27499.68	39.77387	68021.625	1.2303222	77.308556	14.780836	36958.52	0.070321806	160.15837	3.5569706	4191.494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12048103	117.52369	6.2020493	13698.588	0	0	0	0	0.08304747	23.536165	0.98475605	1945.9409	0.4085616	1203.5382	18.072025	29322.96	0.84351593	8.548525	15.109044	33942.684	0.5459811	2684.1694	27.115734	42342.664	0	0	0	0	0	0	0	0	0.5990549	25.216352	8.812411	19750.05	0.36499637	762.44	19.404415	30741.625	0.6150347	802.66455	9.375616	23037.207	0.074989505	0.6647207	13.955409	15998.755	0	0	0	0	0.059835445	399.22128	11.841765	13152.984	0.13072595	1.5414222	16.39482	23191.059	0.09504852	211.66508	15.6366825	18031.217	0.21251087	778.42596	19.452543	26438.982	0	0	0	0	0.13965413	834.1511	9.73682	15320.214	0.23842743	2173.3784	26.65024	32667.254	0.10907674	2.282479	9.501661	13131.533	0.054348897	2150.9143	10.119053	10980.316	0	0	0	0	0.06829324	8.178948	14.033796	15476.579	0.1721215	639.4762	8.933954	13335.8	0.68821996	18678.215	27.975496	41243.402	0.5377005	22.136118	15.94027	27325.92
20_S46_bin.8	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.6211581	3579.7893	34.610733	68067.42	0	0	0	0	5.9116106	10738.233	48.77359	92762.05	0	0	0	0	0	0	0	0	0	0	0	0	16.078104	1741.7412	157.55066	311330.2	0	0	0	0	0.29154217	1.4425876	4.937555	11092.285	0	0	0	0	0	0	0	0	0	0	0	0	0.42978474	10.692948	5.7775693	12948.473	0	0	0	0	0.060816392	45.443817	0.9259844	2275.2742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139_merged	0	0	0	0	NaN	0	0	0	0.4881461	1499.7039	19.880322	28376.076	0.37996075	340.5666	15.4868	24368.484	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092500664	46.328987	2.8972075	4905.185	0	0	0	0	0.13350518	378.6175	3.697822	6245.8022	0.10834578	2.8340921	1.4752371	3620.3647	0.08290078	184.27298	2.3493748	4017.9211	0.120759994	3.0591147	1.4356896	3589.8484	0.050894123	90.536934	2.4126542	2843.0447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025917979	7.987145	0.30207536	596.9203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09151024	139.09058	4.7819138	7575.7896	0	0	0	0	0	0	0	0	0	0	0	0	0.037442453	298.81082	7.6898446	8541.328	0	0	0	0	0.050012644	102.278046	8.35231	9631.348	0.12666617	294.73486	10.902813	14818.593	0	0	0	0	0.021826003	137.06827	1.8370459	2890.4653	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.019325543	4.7117076	4.88328	5385.3193	0.047753107	179.4626	2.5846672	3858.157	0.51942366	1117.5815	19.125515	28196.148	0.21948193	2.8404796	5.9799714	10251.283
183_merged	0	0	0	0	NaN	0	0	0	0.01457918	8959.423	1.0856113	1549.5415	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4848561	14900.991	353.6092	388962.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92836237	8.527888	147.32416	168895.3	0.71790063	1.4859495	169.42226	180379.08	0.8865994	6278.265	147.82295	164191.1	0.6964772	8.14235	75.76967	107178.91	0.91160613	1742.25	129.2004	148985.6	0.6215827	1867.3298	50.31591	68387.02	0	0	0	0	0.68427175	3134.643	40.585857	63859.04	0.1979444	2364.3271	21.127731	25897.885	0.27509633	13.322777	21.654358	29926.861	0.25972193	16792.994	41.97838	45551.28	0.24067466	1893.0396	29.086786	35071.68	0.4209017	224.63715	75.609886	83383.17	0.26326886	1573.1761	12.515115	18681.434	0	0	0	0	0	0	0	0
20_S46_bin.3	0	0	0	0	NaN	0	0	0	0.027915522	978.81793	1.3266246	1893.551	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.011614099	554.9465	0.38426998	649.0504	0	0	0	0	0.012621337	1253.1055	0.45059916	770.6187	0	0	0	0	0	0	0	0	7.095431	35002.57	67.81337	133365.58	0	0	0	0	8.23348	71373.805	68.290085	129880.28	0	0	0	0	0	0	0	0	0	0	0	0	8.42391	1897.306	82.63772	163297.44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17685746	611.86194	2.9301567	6566.9595	0	0	0	0	0.13248026	2110.8733	2.0897677	5134.855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022524772	358.39682	0.97611547	1439.0568	0	0	0	0
16p_S16_bin.38	0.43662134	351.1075	578.93225	1000000	NaN	0	0	0	2.0106375	19876.045	82.026474	117080.1	1.1396692	1075.2039	46.50285	73172.234	NaN	0	0	0	1.8474146	11431.417	143.72014	214481.77	3.02108	2885.0513	119.85201	196133.02	2.1112425	1234.8329	42.19413	124516.2	3.4635181	5140.7485	104.02708	176125.47	1.9372582	2979.4863	22.07637	59419.66	3.8961282	59094.04	106.7516	180308.63	2.689826	55.979046	35.08491	86101.53	3.3273225	20552.955	89.58651	153211.64	2.65574	74.94563	30.413588	76047.19	0.095446	207.91751	4.473154	5271.1123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14881332	82.360176	7.2412033	15993.789	0	0	0	0	0.16738755	3.5246863	1.7841837	3525.6624	0.5625982	1682.0558	23.793264	38606.02	1.4159478	11.212592	24.100075	54141.16	0.96728337	4966.7744	45.37712	70858.78	1.0560751	0.35802996	18.870878	49481.543	0.48099273	0.48796663	34.851505	52290.31	0.99583256	26.004486	13.929011	31217.19	0.4576823	928.7716	23.52422	37268.457	1.076685	1035.8296	15.456866	37979.695	0.08346997	0.6750108	14.868506	17045.553	0	0	0	0	0.07526055	465.5103	14.050032	15605.768	0.15082839	1.6658828	18.158924	25686.447	0.109471865	196.22679	17.300547	19949.879	0.55449665	1302.5028	45.82635	62285.03	0	0	0	0	0.14044838	650.06757	9.539904	15010.381	0.7120125	5867.8086	71.47246	87609.28	0.11407073	1.8866918	9.629992	13308.884	0.06572491	2292.4136	11.611045	12599.294	0	0	0	0	0.06877023	6.5778956	13.617589	15017.583	0.3116985	639.52423	14.809069	22105.64	2.5741832	16571.482	94.31255	139042.05	1.85949	28.650112	50.025387	85757
8p_S8_bin.7	0	0	0	0	NaN	0	0	0	0.007354027	120.06538	0.43560576	621.75964	0	0	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015642678	9.755657	0.54733366	926.67584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.26000714	2285.704	65.87658	72462.82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4409247	3.4789686	70.907875	81290.18	0.4591457	0.8588342	108.65355	115680.38	0.4586168	2649.674	78.104385	86752.734	0.38209113	3.3011239	42.09115	59539.434	0.39985678	639.51685	58.040344	66928.4	0.38139933	822.1682	31.347105	42605.527	0.5216086	15224.076	190.78137	186361.56	0.6101588	1295.4885	36.207558	56970.09	0.8142082	6305.8833	80.35371	98495.7	1.1329567	16.896729	83.71357	115694.23	0.8661951	31893.527	134.04521	145454.23	1.1788168	7663.658	133.92577	161482.3	0.72504246	52.21097	125.06728	137925.17	0.9441234	1782.7424	42.48992	63425.11	0	0	0	0	0	0	0	0
176_merged	0	0	0	0	NaN	0	0	0	0.20582889	577.51416	8.451042	12062.556	0.37724772	384.5822	15.666323	24650.957	NaN	0	0	0	0	0	0	0	0.34303427	341.08466	14.235624	23296.03	0	0	0	0	0.10366696	48.513508	3.2918344	5573.3164	0	0	0	0	0.09798393	190.28288	2.8302398	4780.413	0.23412184	3.4343882	3.0909252	7585.408	0.625347	820.3635	17.301476	29589.133	0.24348578	3.9916549	2.84913	7124.065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03743225	6.546565	0.41300902	816.1325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010870374	15.433373	1.7483411	2016.0754	0.08699502	151.1908	7.220991	9814.432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012845824	1.257245	2.5017378	2758.9365	0.021488702	32.831776	1.0489168	1565.7285	0.19467613	399.2637	7.2513328	10690.409	0.13609292	1.4746013	3.7047303	6350.9087
